Type,Name,DisplayName,ResponsibleTeam,Manufacturer,Supplier,SerialNumber,ParentName,StationIdentifier,ClientPcHostname,Metadata,PinnedObjectHandle,OrganizationId,StorageLocation,EquipmentStatus,MachineId,StockQuantity,MinStockThreshold,IsStockItem,Technology,MachineType,GroupId
Machine,L01-OP110,L01-OP110 – Pallet Accumulator Buffer Loop-1,Controls Engineering (Synthetic AI Guild),Bosch Rexroth,MISUMI Industrial,SN-SYNTH-MCH-01-OP110,,LINE-01-OP110,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-01-OP110"", ""CycleTimeTarget"": ""33s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP110,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP110,InMachine,,,,False,Assembly,ConveyorTransfer,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L01-OP120,L01-OP120 – Outfeed Barcode Check & Gate Bot,Robotics & Cybernetics (Synthetic AI Guild),Keyence,Conrad Electronic,SN-SYNTH-MCH-01-OP120,,LINE-01-OP120,,"{""Line"": ""Line 01 \u2013 Synthetic Audi E-Tron Module Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-01-OP120"", ""CycleTimeTarget"": ""19s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L01"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L01-OP120,org-line-01,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim) – Cell OP120,InMachine,,,,False,Test,ConveyorTransfer,Line 01 – Synthetic Audi E-Tron Module Line (AI Sim)
Machine,L02-OP010,L02-OP010 – Pack-Tray Roller Infeed Infeed-Bot,Robotics & Cybernetics (Synthetic AI Guild),Bosch Rexroth,Farnell Components,SN-SYNTH-MCH-02-OP010,,LINE-02-OP010,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-02-OP010"", ""CycleTimeTarget"": ""20s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP010,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP010,InMachine,,,,False,Assembly,ConveyorTransfer,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP020,L02-OP020 – Cooling-Plate Adhesive Applicator AI,SMT & Microchips (Synthetic AI Guild),Nordson,Farnell Components,SN-SYNTH-MCH-02-OP020,,LINE-02-OP020,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Dispensing"", ""MachineType"": ""Dispenser"", ""StationIdentifier"": ""LINE-02-OP020"", ""CycleTimeTarget"": ""44s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP020,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP020,InMachine,,,,False,Dispensing,Dispenser,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP030,L02-OP030 – Heavy-Module Unload Robot Gantry 1,Vision & Photons (Synthetic AI Guild),Fanuc,Farnell Components,SN-SYNTH-MCH-02-OP030,,LINE-02-OP030,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Robotics"", ""MachineType"": ""RobotCell"", ""StationIdentifier"": ""LINE-02-OP030"", ""CycleTimeTarget"": ""28s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP030,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP030,InMachine,,,,False,Robotics,RobotCell,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP040,L02-OP040 – Dual-Arm Battery Tray Inserter Mech,Plant Maintenance (Synthetic AI Guild),Fanuc,Conrad Electronic,SN-SYNTH-MCH-02-OP040,,LINE-02-OP040,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Robotics"", ""MachineType"": ""RobotCell"", ""StationIdentifier"": ""LINE-02-OP040"", ""CycleTimeTarget"": ""19s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP040,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP040,InMachine,,,,False,Robotics,RobotCell,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP050,L02-OP050 – Busbar Torque Tightening Station 8X,Plant Maintenance (Synthetic AI Guild),Atlas Copco,Direct Automation Europe,SN-SYNTH-MCH-02-OP050,,LINE-02-OP050,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Fastening"", ""MachineType"": ""FasteningStation"", ""StationIdentifier"": ""LINE-02-OP050"", ""CycleTimeTarget"": ""25s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP050,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP050,InMachine,,,,False,Fastening,FasteningStation,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP060,L02-OP060 – Laser Seam Seal Chamber Hermetic-X,Vision & Photons (Synthetic AI Guild),Trumpf,Conrad Electronic,SN-SYNTH-MCH-02-OP060,,LINE-02-OP060,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Welding"", ""MachineType"": ""LaserWelder"", ""StationIdentifier"": ""LINE-02-OP060"", ""CycleTimeTarget"": ""59s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP060,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP060,InMachine,,,,False,Welding,LaserWelder,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP070,L02-OP070 – Laser Bead Profilometer Checker AI,Vision & Photons (Synthetic AI Guild),Cognex,Insight Industrial,SN-SYNTH-MCH-02-OP070,,LINE-02-OP070,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""VisionInspection"", ""StationIdentifier"": ""LINE-02-OP070"", ""CycleTimeTarget"": ""29s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP070,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP070,InMachine,,,,False,Test,VisionInspection,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP080,L02-OP080 – Helium Leak Sniffer Chamber Zero-P,SMT & Microchips (Synthetic AI Guild),Pfeiffer,Farnell Components,SN-SYNTH-MCH-02-OP080,,LINE-02-OP080,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""EOLTester"", ""StationIdentifier"": ""LINE-02-OP080"", ""CycleTimeTarget"": ""19s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP080,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP080,InMachine,,,,False,Test,EOLTester,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP090,L02-OP090 – Pack Lid Structural Servo Press 50kN,Plant Maintenance (Synthetic AI Guild),TOX Pressotechnik,Farnell Components,SN-SYNTH-MCH-02-OP090,,LINE-02-OP090,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Fastening"", ""MachineType"": ""ServoPress"", ""StationIdentifier"": ""LINE-02-OP090"", ""CycleTimeTarget"": ""28s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP090,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP090,InMachine,,,,False,Fastening,ServoPress,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP100,L02-OP100 – Perimeter Hex Bolt Nutrunner Gantry,Plant Maintenance (Synthetic AI Guild),Atlas Copco,RS Components,SN-SYNTH-MCH-02-OP100,,LINE-02-OP100,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Fastening"", ""MachineType"": ""FasteningStation"", ""StationIdentifier"": ""LINE-02-OP100"", ""CycleTimeTarget"": ""24s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP100,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP100,InMachine,,,,False,Fastening,FasteningStation,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP110,L02-OP110 – Optical Topographic Seal Inspector,Robotics & Cybernetics (Synthetic AI Guild),Keyence,Conrad Electronic,SN-SYNTH-MCH-02-OP110,,LINE-02-OP110,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""VisionInspection"", ""StationIdentifier"": ""LINE-02-OP110"", ""CycleTimeTarget"": ""50s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP110,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP110,InMachine,,,,False,Test,VisionInspection,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP120,L02-OP120 – Final Pack Discharge Pallet Elevator,Tooling & Mechanoids (Synthetic AI Guild),Bosch Rexroth,RS Components,SN-SYNTH-MCH-02-OP120,,LINE-02-OP120,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-02-OP120"", ""CycleTimeTarget"": ""52s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP120,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP120,InMachine,,,,False,Assembly,ConveyorTransfer,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L02-OP130,L02-OP130 – Battery Pack EOL High-Voltage Gate,Robotics & Cybernetics (Synthetic AI Guild),Chroma,Direct Automation Europe,SN-SYNTH-MCH-02-OP130,,LINE-02-OP130,,"{""Line"": ""Line 02 \u2013 Synthetic Audi Battery Pack Line (AI Sim)"", ""Technology"": ""Test"", ""MachineType"": ""EOLTester"", ""StationIdentifier"": ""LINE-02-OP130"", ""CycleTimeTarget"": ""47s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L02"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L02-OP130,org-line-02,Line 02 – Synthetic Audi Battery Pack Line (AI Sim) – Cell OP130,InMachine,,,,False,Test,EOLTester,Line 02 – Synthetic Audi Battery Pack Line (AI Sim)
Machine,L03-OP010,L03-OP010 – Hairpin Stator Raw Infeed Track,Platform Operations (Synthetic AI Guild),Bosch Rexroth,Insight Industrial,SN-SYNTH-MCH-03-OP010,,LINE-03-OP010,,"{""Line"": ""Line 03 \u2013 Synthetic Audi Powertrain Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ConveyorTransfer"", ""StationIdentifier"": ""LINE-03-OP010"", ""CycleTimeTarget"": ""22s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L03"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L03-OP010,org-line-03,Line 03 – Synthetic Audi Powertrain Line (AI Sim) – Cell OP010,InMachine,,,,False,Assembly,ConveyorTransfer,Line 03 – Synthetic Audi Powertrain Line (AI Sim)
Machine,L03-OP020,L03-OP020 – Precision Stator Iron Core Press 80kN,Robotics & Cybernetics (Synthetic AI Guild),TOX Pressotechnik,Conrad Electronic,SN-SYNTH-MCH-03-OP020,,LINE-03-OP020,,"{""Line"": ""Line 03 \u2013 Synthetic Audi Powertrain Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ServoPress"", ""StationIdentifier"": ""LINE-03-OP020"", ""CycleTimeTarget"": ""42s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""24V DC Industrial Spool"", ""ConveyorLoop"": ""Conveyor Loop L03"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L03-OP020,org-line-03,Line 03 – Synthetic Audi Powertrain Line (AI Sim) – Cell OP020,InMachine,,,,False,Assembly,ServoPress,Line 03 – Synthetic Audi Powertrain Line (AI Sim)
Machine,L03-OP030,L03-OP030 – Hairpin Wire Crown Insertion Robot,SMT & Microchips (Synthetic AI Guild),KUKA,MISUMI Industrial,SN-SYNTH-MCH-03-OP030,,LINE-03-OP030,,"{""Line"": ""Line 03 \u2013 Synthetic Audi Powertrain Line (AI Sim)"", ""Technology"": ""Robotics"", ""MachineType"": ""RobotCell"", ""StationIdentifier"": ""LINE-03-OP030"", ""CycleTimeTarget"": ""44s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L03"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L03-OP030,org-line-03,Line 03 – Synthetic Audi Powertrain Line (AI Sim) – Cell OP030,InMachine,,,,False,Robotics,RobotCell,Line 03 – Synthetic Audi Powertrain Line (AI Sim)
Machine,L03-OP040,L03-OP040 – Crown Head Twist & Chamfer Tooling,Platform Operations (Synthetic AI Guild),Atlas Copco,Insight Industrial,SN-SYNTH-MCH-03-OP040,,LINE-03-OP040,,"{""Line"": ""Line 03 \u2013 Synthetic Audi Powertrain Line (AI Sim)"", ""Technology"": ""Fastening"", ""MachineType"": ""FasteningStation"", ""StationIdentifier"": ""LINE-03-OP040"", ""CycleTimeTarget"": ""58s"", ""SafetyRating"": ""SIL3 / PLe"", ""PowerSupply"": ""48V High Current"", ""ConveyorLoop"": ""Conveyor Loop L03"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L03-OP040,org-line-03,Line 03 – Synthetic Audi Powertrain Line (AI Sim) – Cell OP040,InMachine,,,,False,Fastening,FasteningStation,Line 03 – Synthetic Audi Powertrain Line (AI Sim)
Machine,L03-OP050,L03-OP050 – Rotor Shaft Cryogenic Insertion Press,Tooling & Mechanoids (Synthetic AI Guild),TOX Pressotechnik,Farnell Components,SN-SYNTH-MCH-03-OP050,,LINE-03-OP050,,"{""Line"": ""Line 03 \u2013 Synthetic Audi Powertrain Line (AI Sim)"", ""Technology"": ""Assembly"", ""MachineType"": ""ServoPress"", ""StationIdentifier"": ""LINE-03-OP050"", ""CycleTimeTarget"": ""56s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L03"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L03-OP050,org-line-03,Line 03 – Synthetic Audi Powertrain Line (AI Sim) – Cell OP050,InMachine,,,,False,Assembly,ServoPress,Line 03 – Synthetic Audi Powertrain Line (AI Sim)
Machine,L03-OP060,L03-OP060 – Trickle Resin Trickler & Varnish Bot,Vision & Photons (Synthetic AI Guild),Nordson,RS Components,SN-SYNTH-MCH-03-OP060,,LINE-03-OP060,,"{""Line"": ""Line 03 \u2013 Synthetic Audi Powertrain Line (AI Sim)"", ""Technology"": ""Dispensing"", ""MachineType"": ""Dispenser"", ""StationIdentifier"": ""LINE-03-OP060"", ""CycleTimeTarget"": ""25s"", ""SafetyRating"": ""SIL2 / PLd"", ""PowerSupply"": ""400V 3Ph 50Hz"", ""ConveyorLoop"": ""Conveyor Loop L03"", ""PalletCarrierType"": ""Pallet RFID High-Speed 400x400""}",L03-OP060,org-line-03,Line 03 – Synthetic Audi Powertrain Line (AI Sim) – Cell OP060,InMachine,,,,False,Dispensing,Dispenser,Line 03 – Synthetic Audi Powertrain Line (AI Sim)
